area,num_ev,latitude,longitude
Landhi,459,24.848199,67.202312
DHA,186,24.81645,67.069645
DHA,64,24.805195,67.065665
DHA,99,24.811265,67.06146
Orangi Town,36,24.952066,66.950842
Gulberg,486,24.92359,67.085267
Saddar,17,24.858779,67.006054
Lyari,345,24.845939,67.015296
North Nazimabad,352,24.94072,67.037136
Gulberg,47,24.912214,67.070906
Korangi,255,24.84541,67.123591
DHA,319,24.814008,67.058149
Gulshan-e-Iqbal,113,24.917344,67.112432
Orangi Town,159,24.952716,66.954498
Landhi,37,24.856506,67.20991
Lyari,395,24.852361,67.010546
Shah Faisal,429,24.87691,67.142288
Lyari,361,24.841886,67.008462
Gulshan-e-Iqbal,159,24.917009,67.106061
Lyari,93,24.853137,67.008536
Korangi,339,24.831335,67.138857
Landhi,46,24.848886,67.206971
Saddar,406,24.856082,67.001555
Gulshan-e-Iqbal,48,24.926578,67.108705
SITE,460,24.913069,66.995332
SITE,11,24.92711,66.989612
Clifton,261,24.805238,67.028541
DHA,201,24.813964,67.070599
DHA,415,24.802872,67.066326
Malir,276,24.886172,67.215458
Clifton,458,24.808088,67.021932
Malir,363,24.882,67.208491
Orangi Town,497,24.958278,66.952752
Gulshan-e-Iqbal,53,24.921717,67.10784
Gulshan-e-Iqbal,213,24.925532,67.093828
Korangi,48,24.839383,67.13567
DHA,358,24.817424,67.068706
Lyari,153,24.842482,67.019263
Saddar,228,24.862761,67.015627
Lyari,292,24.847346,67.016396
Lyari,82,24.854768,67.013409
Landhi,98,24.851034,67.190098
Shah Faisal,278,24.868835,67.140388
Shah Faisal,440,24.872983,67.155915
Gulberg,483,24.920526,67.077201
Gulshan-e-Iqbal,200,24.934568,67.096709
Malir,73,24.881553,67.222546
Shah Faisal,402,24.863106,67.159949
Gulshan-e-Iqbal,318,24.926145,67.099207
Malir,361,24.888691,67.210224
Lyari,279,24.858386,67.001557
DHA,62,24.809558,67.074897
Shah Faisal,359,24.870625,67.14551
Shah Faisal,196,24.862427,67.157023
Gulshan-e-Iqbal,13,24.92084,67.111541
North Nazimabad,488,24.945838,67.029196
Gulberg,234,24.920958,67.073059
Lyari,372,24.8476,67.014938
Landhi,147,24.845425,67.206716
North Nazimabad,201,24.951842,67.044333
Korangi,26,24.841527,67.125027
Landhi,61,24.85065,67.209112
Orangi Town,376,24.943035,66.968272
SITE,330,24.928457,66.982008
SITE,316,24.921496,66.980841
Clifton,251,24.809427,67.027455
SITE,103,24.914922,66.99014
Clifton,497,24.82284,67.019304
Orangi Town,188,24.953831,66.96964
Landhi,327,24.842662,67.195807
DHA,330,24.807299,67.071628
Malir,232,24.899548,67.218395
Clifton,319,24.821867,67.022064
Malir,302,24.897146,67.21233
Clifton,71,24.816312,67.035675
Clifton,349,24.815121,67.035564
North Nazimabad,177,24.945945,67.045327
SITE,148,24.915218,66.986038
Saddar,429,24.864962,67.017769
DHA,265,24.806121,67.074502
Orangi Town,323,24.95246,66.969757
Orangi Town,141,24.959501,66.967205
Landhi,306,24.851274,67.193174
Lyari,283,24.857928,67.013826
Shah Faisal,304,24.862327,67.151006
Korangi,323,24.840918,67.135499
